SiteID,861847,Site Timezone,-7,Data Timezone,0,Longitude,-104.996551514,Latitude,39.7413291931
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C),wind speed at 120m (m/s),wind direction at 100m (deg),air pressure at 100m (Pa)
2014,1,14,12,30,8.92,-0.8300000000000001,N/A,40.39,83500
2014,1,14,13,30,7.2,-1.55,N/A,38.77,83630
2014,1,14,14,30,6.37,-1.85,N/A,14.05,83710
2014,1,14,15,30,3.95,-3.23,N/A,41.95,83780
2014,1,14,16,30,3.08,-3.14,N/A,40.33,83850
2014,1,14,17,30,1.87,-2.5500000000000003,N/A,45.69,83860
2014,1,14,18,30,1.67,-1.68,N/A,52.160000000000004,83860
2014,1,14,19,30,1.1400000000000001,-0.68,N/A,57.71,83870
2014,1,14,20,30,1.73,0.55,N/A,80.7,83880
2014,1,14,21,30,1.6400000000000001,1.41,N/A,80.67,83860
2014,1,14,22,30,1.17,2.21,N/A,94.05,83820
2014,1,14,23,30,4.01,2.5,N/A,47.870000000000005,83830
2014,1,15,0,30,4.3500000000000005,1.97,N/A,37.2,83860
2014,1,15,1,30,2.87,1.77,N/A,68.75,83900
2014,1,15,2,30,2.39,1.5,N/A,113.45,83860
2014,1,15,3,30,0.93,1.83,N/A,171.79,83790
2014,1,15,4,30,1.37,2.98,N/A,260.58,83740
2014,1,15,5,30,1.55,3.43,N/A,197.24,83680
2014,1,15,6,30,0.97,4.23,N/A,202.85,83650
2014,1,15,7,30,1.71,4.55,N/A,158.76,83620
2014,1,15,8,30,0.55,5.19,N/A,127.42,83580
2014,1,15,9,30,2.8000000000000003,5.74,N/A,120.63,83530
2014,1,15,10,30,7.4,7.0600000000000005,N/A,301.55,83450
2014,1,15,11,30,11.120000000000001,7.3500000000000005,N/A,312.48,83390
2014,1,15,12,30,9.13,7.46,N/A,317.47,83350
2014,1,15,13,30,4.82,7.7700000000000005,N/A,313.76,83300
2014,1,15,14,30,6.93,8.2,N/A,286.21,83260
2014,1,15,15,30,8.75,8.05,N/A,282.88,83250
2014,1,15,16,30,8.25,8.76,N/A,282.79,83260
2014,1,15,17,30,12.55,9.83,N/A,299.2,83220
2014,1,15,18,30,8.36,10.97,N/A,309.37,83200
2014,1,15,19,30,9.75,11.25,N/A,307.7,83170
2014,1,15,20,30,10.64,11.36,N/A,301.81,83160
2014,1,15,21,30,10.44,11,N/A,299.09000000000003,83140
2014,1,15,22,30,11.4,10.14,N/A,292.62,83110
2014,1,15,23,30,16.28,9.24,N/A,289.86,83090
2014,1,16,0,30,16.43,8.35,N/A,287.48,83100
2014,1,16,1,30,15.18,8.25,N/A,289.01,83140
2014,1,16,2,30,14.13,8.3,N/A,290.21,83160
2014,1,16,3,30,11.46,8.14,N/A,285.69,83150
2014,1,16,4,30,10.39,7.73,N/A,284.92,83180
2014,1,16,5,30,14.27,7.57,N/A,284.62,83200
2014,1,16,6,30,7.28,7.49,N/A,273.86,83230
2014,1,16,7,30,5.0200000000000005,6.73,N/A,341.72,83270
2014,1,16,8,30,0.91,6.65,N/A,201.26,83260
2014,1,16,9,30,9.76,5.66,N/A,332.14,83280
2014,1,16,10,30,9.32,5.61,N/A,343.95,83270
2014,1,16,11,30,4.62,5.4,N/A,350.07,83290
2014,1,16,12,30,9.88,5.47,N/A,342.93,83350
2014,1,16,13,30,13.43,4.43,N/A,314.77,83410
2014,1,16,14,30,12.64,4.26,N/A,317.03000000000003,83430
2014,1,16,15,30,12.8,3.77,N/A,313.8,83440
2014,1,16,16,30,3.23,4.12,N/A,0.04,83460
2014,1,16,17,30,2.42,4.5,N/A,71.24,83440
2014,1,16,18,30,0.87,5.18,N/A,44.94,83450
2014,1,16,19,30,2.48,5.8500000000000005,N/A,15.47,83440
2014,1,16,20,30,11.05,7.01,N/A,318.51,83420
2014,1,16,21,30,10.85,6.87,N/A,317.82,83450
2014,1,16,22,30,10.03,6.49,N/A,313.2,83440
2014,1,16,23,30,11.18,5.5200000000000005,N/A,317.53000000000003,83480
2014,1,17,0,30,6.48,4.6000000000000005,N/A,351.44,83570
2014,1,17,1,30,5.21,2.66,N/A,44.550000000000004,83630
2014,1,17,2,30,2.96,2.15,N/A,72.76,83650
2014,1,17,3,30,1.84,1.53,N/A,74.06,83620
2014,1,17,4,30,2.92,1.04,N/A,118.39,83610
2014,1,17,5,30,3.58,0.81,N/A,155.21,83550
2014,1,17,6,30,2.23,1.33,N/A,201.92000000000002,83520
2014,1,17,7,30,1.61,1.83,N/A,194.91,83490
2014,1,17,8,30,0.86,3.39,N/A,277.53000000000003,83470
2014,1,17,9,30,3.62,3.88,N/A,319.63,83430
2014,1,17,10,30,2.71,3.9,N/A,343.47,83360
2014,1,17,11,30,0.56,4.55,N/A,102.82000000000001,83340
2014,1,17,12,30,3.65,5.16,N/A,289.73,83350
2014,1,17,13,30,6.96,5.51,N/A,302.31,83320
2014,1,17,14,30,7.97,5.7,N/A,313.75,83260
2014,1,17,15,30,6.55,5.83,N/A,326.07,83220
2014,1,17,16,30,7.16,6.87,N/A,323.49,83230
2014,1,17,17,30,4.66,7.98,N/A,356.24,83190
2014,1,17,18,30,3.3200000000000003,9.040000000000001,N/A,359.05,83130
2014,1,17,19,30,2.25,9.32,N/A,5.5200000000000005,83110
2014,1,17,20,30,0.96,9.790000000000001,N/A,2.11,83090
2014,1,17,21,30,6.78,10.55,N/A,317.18,83060
2014,1,17,22,30,8.01,9.540000000000001,N/A,304.52,83060
2014,1,17,23,30,12.41,8.78,N/A,287.53000000000003,83040
2014,1,18,0,30,15.6,8.040000000000001,N/A,281.92,83050
2014,1,18,1,30,14.73,7.8,N/A,283.23,83050
2014,1,18,2,30,14.58,7.5600000000000005,N/A,283.49,83050
2014,1,18,3,30,13.59,7.41,N/A,287.02,83040
2014,1,18,4,30,10.89,6.99,N/A,291.68,83050
